country,ordered,weapon,weapon.des,year,years.delivered,delivered,comments
     ,260,Redeye,portable SAM,1968,1969-1970,260,
     ,144,AIM-7C Sparrow,SRAAM,1969,1970,144,For F-4E combat aircraft leased from USA
     ,11,Bell-205/UH-1H,helicopter,1969,1969-1973,11,
     ,24,F-4E Phantom-2,FGA aircraft,1970,1970-1971,24,Second-hand; on lease until delivery of F-111 combat aircraft in 1973
    ,10,A-4E Skyhawk,FGA aircraft,1971,1971,10,A-4G version; incl 2 TA-4G; for use on aircraft carrier
,12,CH-47C Chinook,transport helicopter,1972,1974,12,
    ,200,RIM-66B Standard-1MR,SAM,1973,1974-1978,200,For modernized Adams (Perth) destroyers
 ,6,Mk-42-9 127mm,naval gun,1974,1975-1979,6,Mk-42 Mod-10 version; for modernization of 3 Adams (Perth) destroyers
   ,200,Mk-46,ASW torpedo,1974,1975-1978,200,Incl for P-3 ASW/MP aircraft and surface combat ships
     ,100,Mk-48 533mm,anti-ship/ASW torpedo,1975,1977-1980,100,For Oberon submarines
     ,10,P-3C Orion Update-2,ASW aircraft,1975,1977-1979,10,$229 m deal
     ,12,C-130H Hercules,transport aircraft,1976,1978,12,Deal worth $115 m
     ,100,Harpoon Block-1,anti-ship missile,1976,1981-1985,100,Incl RGM-84 version for Perry (Adelaide) frigates and AGM-84A version for P-3C ASW/MP aircraft
 ,2,Perry,frigate,1976,1980-1981,2,"Deal worth AUD923 m for total of 4 ordered 1976, 1977 and 1980; Australian designation Adelaide"
     ,200,RIM-66B Standard-1MR,SAM,1976,1980-1984,200,For Perry (Adelaide) frigates
     ,16,S-2E Tracker,ASW aircraft,1976,1977-1978,16,Second-hand; $9 m deal; S-2G version
,1,Perry,frigate,1977,1983,1,"Deal worth AUD923 m for total of 4 ordered 1976, 1977 and 1980; Australian designation Adelaide"
   ,3,TPS-43,air search radar,1977,1982,3,For 'Recap' improvement programme of 'Hub Cap' air surveillance network
     ,12,AVQ-26 Pave Tack,aircraft EO system,1980,1985,12,For F-111C combat aircraft
     ,4,F-111C,bomber aircraft,1980,1983,4,Second-hand F-111A modernized for $15 m to F-111C before delivery; $42 m deal
    ,36,M-198 155mm,towed gun,1980,1983-1984,36,
    ,100,Paveway,guided bomb,1980,1982-1983,100,GBU-12 Paveway-2 version
    ,1,Perry,frigate,1980,1984,1,"Deal worth $164 m (AUD923 m for total of 4 ordered 1976, 1977 and 1980); Australian designation Adelaide"
   ,100,GBU-15,guided bomb,1982,1984,100,For F-111C combat aircraft
    ,100,Harpoon Block-1,anti-ship missile,1982,1984-1986,100,Incl AGM-84A version for P-3C ASW aircraft and F-111 and F/A-18 combat aircraft and UGM-84 version for Oberon submarines
    ,10,P-3C Orion Update-2.5,ASW aircraft,1982,1984-1986,10,$366 m deal (partly paid with 9 Second-hand P-3B ASW aircraft)
    ,450,AIM-9L Sidewinder,SRAAM,1983,1983-1990,450,For F/A-18 combat aircraft
   ,300,AIM-7M Sparrow,BVRAAM,1984,1988-1989,300,$20 m deal; for F/A-18 combat aircraft
